Model,Horizon,MAE,RMSE,MAPE,R2
CNN,1d,0.10105206072330475,0.1252436126638368,24.9520942568779,0.5002853870391846
RNN,1d,0.019979355856776237,0.036535546200381276,4.518066719174385,0.9574751853942871
LSTM,1d,0.029427383095026016,0.03378929726568703,7.153632491827011,0.963627815246582
Transformer,1d,0.189061239361763,0.21659344072310205,51.90846920013428,-0.49451935291290283
CNN,3d,0.10270282626152039,0.11996121087597447,26.603999733924866,0.5420137643814087
RNN,3d,0.027077483013272285,0.041202626927106335,6.256489455699921,0.9459717869758606
LSTM,3d,0.034836579114198685,0.043041492790315335,8.383581042289734,0.9410416483879089
Transformer,3d,0.392586350440979,0.43075019165473166,81.34850859642029,-4.90502405166626
CNN,7d,0.09977038204669952,0.1230454634025379,24.58057850599289,0.5181609988212585
RNN,7d,0.073318250477314,0.08182517062807372,18.1193545460701,0.786919116973877
LSTM,7d,0.034208931028842926,0.04929037634670077,7.141891121864319,0.9226794242858887
Transformer,7d,0.3918449580669403,0.43007460409970105,81.16682767868042,-4.8865156173706055
